StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,swl1,swl2,swl3,swl4,swl5,fses1,fses2,fses3,fses4,fses5,fses6,sex,sex_55_TEXT,age,education,religion_importance,pray,prolific_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Dear participant,



We would like to invite you to take part in our research. In this letter, we inform you about the present research study. Specifically, we will describe its goals, the types of questions we will ask you, how much time and effort we ask from you, and the possible benefits and disadvantages of participation. Please read the following information carefully and contact the researcher for more information if you have any questions. After you have read the information and your questions have been answered, you can decide if you want to participate in this study. Your participation is entirely voluntary. If you decide to participate, please indicate so at the bottom of this form.",In most ways my life is close to my ideal.,The conditions of my life are excellent,I am satisfied with my life.,So far I have gotten the important things I want in life.,"If I could live my life over, I would change almost nothing.","It is hard to stick to my spending plan when
unexpected expenses arise.","It is challenging to make progress toward my
financial goals.","When unexpected expenses occur I usually
have to use credit.","When faced with a financial challenge, I have
a hard time figuring out a solution.","I lack confidence in my ability to manage my
finances.","I worry about running out of money in
retirement.",Are you... - Selected Choice,Are you... - I prefer to self-describe - Text,Please indicate your age:,What is the highest level of education you have completed?,How important is religion in your life?,"Apart from weddings and funerals, about how often do you pray?",prolific_ID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_3_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""prolific_ID""}"
2025-02-10 01:39:07,2025-02-10 01:39:07,2,,100,0,1,2025-02-10 01:39:07,R_3pGB1Z5WJxKKKBU,,,,,,,test,,1,5,7,7,3,4,5,3,5,3,3,7,99,,75,6,4,8,27352
2025-02-10 01:39:07,2025-02-10 01:39:07,2,,100,0,1,2025-02-10 01:39:07,R_3kiG63KcYrH3sbA,,,,,,,test,,1,1,7,1,6,5,2,6,4,2,3,4,55,"Lectus non porttitor? Sapien est cras donec curabitur, eu dolorem.",74,3,3,5,24961
2025-02-10 01:39:08,2025-02-10 01:39:08,2,,100,0,1,2025-02-10 01:39:08,R_1NdPvtVzmu4wAmi,,,,,,,test,,1,3,5,1,4,3,2,4,4,5,4,2,55,"Ultricies? Cras enim, vestibulum vehicula! Tellus. Augue! Temporibus potenti! Velit.",70,4,1,3,39390
2025-02-10 01:39:08,2025-02-10 01:39:08,2,,100,0,1,2025-02-10 01:39:08,R_bQV8JZO7iXZ8tfM,,,,,,,test,,1,3,3,6,6,2,5,7,6,5,6,7,55,Ligula neque mattis nullam blandit leo blandit consectetuer dapibus integer.,19,1,1,4,19216
2025-02-10 01:39:08,2025-02-10 01:39:08,2,,100,0,1,2025-02-10 01:39:08,R_2sq0CO1XfkmGQAu,,,,,,,test,,1,7,1,4,6,4,4,4,1,4,3,6,55,Est commodo imperdiet ut sagittis! Neque eleifend dignissim facilisi bibendum faucibus potenti ridiculus.,43,1,5,8,40064
2025-02-10 01:39:08,2025-02-10 01:39:08,2,,100,0,1,2025-02-10 01:39:08,R_5jRiBqCwdgASTAi,,,,,,,test,,1,5,2,1,1,7,7,4,4,5,5,5,1,,85,3,1,6,33927
2025-02-10 01:39:08,2025-02-10 01:39:08,2,,100,0,1,2025-02-10 01:39:08,R_b9HIuSsuwg6iKkm,,,,,,,test,,1,3,3,6,7,1,2,7,3,1,3,1,55,Montes posuere. Nonummy vivamus mauris dolor porttitor leo. In gravida posuere dolor eleifend.,38,1,2,3,36003
2025-02-10 01:39:08,2025-02-10 01:39:08,2,,100,0,1,2025-02-10 01:39:09,R_0qDV0STkXprt7Jc,,,,,,,test,,1,6,1,3,5,6,4,4,6,6,2,1,0,,100,5,4,8,14459
2025-02-10 01:39:09,2025-02-10 01:39:09,2,,100,0,1,2025-02-10 01:39:09,R_b4ow7mrkgsLrGC2,,,,,,,test,,1,2,7,3,4,1,2,6,5,1,4,2,55,Etiam vitae. Phasellus velit pretium augue consequat at etiam viverra luctus.,75,1,5,4,24055
2025-02-10 01:39:09,2025-02-10 01:39:09,2,,100,0,1,2025-02-10 01:39:09,R_4Uh2A1QAu4haBcW,,,,,,,test,,1,5,2,5,3,6,1,1,2,2,1,7,0,,57,1,4,2,27725
2025-02-10 01:39:09,2025-02-10 01:39:09,2,,100,0,1,2025-02-10 01:39:09,R_8wCP075JSd1FmwS,,,,,,,test,,1,2,6,4,1,4,3,4,3,7,7,3,0,,71,4,5,8,28989
2025-02-10 01:39:09,2025-02-10 01:39:09,2,,100,0,1,2025-02-10 01:39:09,R_00scJeJMmGhsoaW,,,,,,,test,,1,2,1,5,2,1,4,5,4,1,2,1,1,,96,4,3,2,33307
2025-02-10 01:39:09,2025-02-10 01:39:09,2,,100,0,1,2025-02-10 01:39:09,R_espRf0gdj6cpZgG,,,,,,,test,,1,4,7,7,3,3,6,6,4,3,7,3,0,,57,1,2,3,37321
2025-02-10 01:39:09,2025-02-10 01:39:09,2,,100,0,1,2025-02-10 01:39:10,R_9t4JmsczPVZx8H4,,,,,,,test,,1,4,4,6,1,3,3,3,2,5,7,2,1,,39,6,3,3,31332
2025-02-10 01:39:10,2025-02-10 01:39:10,2,,100,0,1,2025-02-10 01:39:10,R_4I06SUzizo15lae,,,,,,,test,,1,3,2,6,2,2,6,5,2,1,7,5,55,Porttitor imperdiet pede temporibus aenean donec sed eros magna euismod natoque at platea justo.,75,1,5,7,24819
2025-02-10 01:39:10,2025-02-10 01:39:10,2,,100,0,1,2025-02-10 01:39:10,R_b8yO0chF7ajwPD8,,,,,,,test,,1,7,1,5,7,1,7,2,1,1,2,4,55,"Elementum massa lorem platea, eleifend neque dictumst nonummy neque wisi.",70,1,1,8,32747
2025-02-10 01:39:10,2025-02-10 01:39:10,2,,100,0,1,2025-02-10 01:39:10,R_3LbB6JXowetjPBY,,,,,,,test,,1,2,2,7,4,4,4,2,7,4,3,3,1,,98,2,1,2,35512
2025-02-10 01:39:10,2025-02-10 01:39:10,2,,100,0,1,2025-02-10 01:39:10,R_bpi7NW9DvXRYt70,,,,,,,test,,1,2,3,7,4,7,3,4,6,5,6,2,55,"Natoque fringilla tempus, aenean nulla sed sodales potenti erat neque.",104,6,1,2,22598
2025-02-10 01:39:10,2025-02-10 01:39:10,2,,100,0,1,2025-02-10 01:39:10,R_bCNlRw5DKxj9Us6,,,,,,,test,,1,4,3,1,3,6,6,5,2,6,5,7,0,,60,1,2,3,34114
2025-02-10 01:39:10,2025-02-10 01:39:10,2,,100,0,1,2025-02-10 01:39:11,R_9BljygVAkr3Xg10,,,,,,,test,,1,3,5,2,2,3,1,7,1,2,2,7,1,,93,1,5,5,23324
2025-02-10 01:39:11,2025-02-10 01:39:11,2,,100,0,1,2025-02-10 01:39:11,R_7NErvHYLVh0jTvg,,,,,,,test,,1,5,7,5,5,1,2,6,3,1,4,7,55,"Temporibus ligula ridiculus nonummy facilisi, vivamus, lorem. Morbi. Tellus lectus fringilla.",42,3,4,7,17675
2025-02-10 01:39:11,2025-02-10 01:39:11,2,,100,0,1,2025-02-10 01:39:11,R_bwlAeI5uw2SFWbc,,,,,,,test,,1,6,3,3,7,3,4,6,1,1,6,6,0,,44,6,3,4,13494
2025-02-10 01:39:11,2025-02-10 01:39:11,2,,100,0,1,2025-02-10 01:39:11,R_09sYy4T0bjjisoS,,,,,,,test,,1,3,3,2,7,2,1,2,3,7,4,2,99,,76,2,2,6,17028
2025-02-10 01:39:11,2025-02-10 01:39:11,2,,100,0,1,2025-02-10 01:39:11,R_a4xQEVUe21WiVxA,,,,,,,test,,1,4,5,4,1,6,2,7,1,3,3,7,0,,52,6,1,3,14678
2025-02-10 01:39:11,2025-02-10 01:39:11,2,,100,0,1,2025-02-10 01:39:11,R_cvbxWj9nziEosya,,,,,,,test,,1,6,1,3,3,4,4,5,4,7,4,2,0,,69,3,3,2,42182
2025-02-10 01:39:11,2025-02-10 01:39:12,2,,100,1,1,2025-02-10 01:39:12,R_0qPzG8hyyDqc1zo,,,,,,,test,,1,7,7,6,4,2,3,6,4,1,2,6,99,,73,1,2,6,15362
2025-02-10 01:39:12,2025-02-10 01:39:12,2,,100,0,1,2025-02-10 01:39:12,R_efTTuHWNYEhnIkm,,,,,,,test,,1,2,6,6,2,5,6,7,5,5,1,3,1,,57,5,4,2,25936
2025-02-10 01:39:12,2025-02-10 01:39:12,2,,100,0,1,2025-02-10 01:39:12,R_cMAdkQ3ypu5o15I,,,,,,,test,,1,5,4,6,2,6,3,7,2,5,3,6,99,,74,2,3,3,19305
2025-02-10 01:39:12,2025-02-10 01:39:12,2,,100,0,1,2025-02-10 01:39:12,R_bIyqhn3bzBYGXHg,,,,,,,test,,1,1,5,3,5,6,3,5,6,6,6,6,55,Sodales ultrices proin pharetra urna! Mattis ut temporibus orci sollicitudin.,55,3,4,5,32442
2025-02-10 01:39:12,2025-02-10 01:39:12,2,,100,0,1,2025-02-10 01:39:12,R_8oUbtaFPVeEdyAu,,,,,,,test,,1,4,3,5,1,4,2,7,3,4,4,3,55,Sagittis accusamus egestas a vulputate? Eleifend aliquet duis molestie sapien.,80,6,1,3,31064
2025-02-10 01:39:12,2025-02-10 01:39:12,2,,100,0,1,2025-02-10 01:39:12,R_0rNjqg20JPHdq7Q,,,,,,,test,,1,5,2,1,6,6,2,7,6,1,7,2,99,,66,5,2,5,33774
2025-02-10 01:39:12,2025-02-10 01:39:13,2,,100,1,1,2025-02-10 01:39:13,R_0Nj16GRFGOuoRYW,,,,,,,test,,1,5,5,6,5,3,2,1,3,3,6,1,0,,73,6,4,6,31861
2025-02-10 01:39:13,2025-02-10 01:39:13,2,,100,0,1,2025-02-10 01:39:13,R_7P5KGKaHPYseNM2,,,,,,,test,,1,3,1,7,5,4,3,1,6,2,6,6,99,,95,1,3,8,27991
2025-02-10 01:39:13,2025-02-10 01:39:13,2,,100,0,1,2025-02-10 01:39:13,R_eW2Q66PKKiZFeLk,,,,,,,test,,1,6,2,7,3,3,7,3,3,1,7,3,0,,50,5,3,4,18441
2025-02-10 01:39:13,2025-02-10 01:39:13,2,,100,0,1,2025-02-10 01:39:13,R_cMUWmiVfNtooRnM,,,,,,,test,,1,4,3,3,2,1,5,4,4,2,6,5,99,,39,4,2,3,29124
2025-02-10 01:39:13,2025-02-10 01:39:13,2,,100,0,1,2025-02-10 01:39:13,R_6XzyW6VZv3h3BkO,,,,,,,test,,1,2,3,7,4,6,7,2,7,1,6,7,55,Commodo accusamus purus ac integer sagittis mi quam fermentum lorem.,66,6,3,1,34800
2025-02-10 01:39:13,2025-02-10 01:39:13,2,,100,0,1,2025-02-10 01:39:13,R_6KikmrDTfJnwMf4,,,,,,,test,,1,7,3,1,4,6,5,7,3,2,1,7,0,,74,5,3,1,41669
2025-02-10 01:39:14,2025-02-10 01:39:14,2,,100,0,1,2025-02-10 01:39:14,R_9Nf6wI4Yu9OLTLM,,,,,,,test,,1,4,2,3,2,3,3,5,1,5,1,5,55,Faucibus! Ab fringilla nulla laoreet tellus amet turpis vulputate? Urna aliquam proin auctor cras.,82,4,4,4,31743
2025-02-10 01:39:14,2025-02-10 01:39:14,2,,100,0,1,2025-02-10 01:39:14,R_20oVMjNgwqTiNgO,,,,,,,test,,1,5,1,1,3,4,7,6,4,2,7,7,1,,49,3,2,2,41129
2025-02-10 01:39:14,2025-02-10 01:39:14,2,,100,0,1,2025-02-10 01:39:14,R_dp3f8nyRBsNVIOy,,,,,,,test,,1,2,2,6,2,4,5,4,6,5,3,2,55,Lectus ridiculus eleifend dapibus suscipit maecenas pellentesque mi molestie. Dui! Nulla.,82,3,3,3,16613
2025-02-10 01:39:14,2025-02-10 01:39:14,2,,100,0,1,2025-02-10 01:39:14,R_01AolbINN5JaUF8,,,,,,,test,,1,3,6,4,3,3,1,2,4,7,1,4,55,Scelerisque. Dolorem ligula faucibus dolor velit? Eu scelerisque nibh magnis suspendisse vehicula.,89,1,4,7,27849
2025-02-10 01:39:14,2025-02-10 01:39:14,2,,100,0,1,2025-02-10 01:39:14,R_26rgk0JVmjB1Doy,,,,,,,test,,1,5,7,7,2,2,5,5,4,7,3,4,99,,78,5,3,7,31700
2025-02-10 01:39:14,2025-02-10 01:39:14,2,,100,0,1,2025-02-10 01:39:14,R_1NYM2MaY5ohtVd4,,,,,,,test,,1,1,2,4,1,3,6,3,3,2,3,7,99,,24,2,2,1,23312
2025-02-10 01:39:14,2025-02-10 01:39:14,2,,100,0,1,2025-02-10 01:39:15,R_0p4YbeAPN6eB5jg,,,,,,,test,,1,4,2,4,4,2,5,2,3,2,2,4,55,"Maecenas etiam lorem, malesuada, blandit consectetuer et ridiculus vestibulum rutrum euismod maecenas.",18,1,3,5,17575
2025-02-10 01:39:15,2025-02-10 01:39:15,2,,100,0,1,2025-02-10 01:39:15,R_0Vt0HwauNgVoIfk,,,,,,,test,,1,3,2,3,4,5,6,4,6,5,2,1,0,,82,1,4,2,39944
2025-02-10 01:39:15,2025-02-10 01:39:15,2,,100,0,1,2025-02-10 01:39:15,R_823t9C5j9xPjVdQ,,,,,,,test,,1,4,4,2,4,7,1,6,1,2,6,2,0,,87,6,1,7,35471
2025-02-10 01:39:15,2025-02-10 01:39:15,2,,100,0,1,2025-02-10 01:39:15,R_0vVOUePSPbxHaC2,,,,,,,test,,1,6,3,6,6,2,7,3,2,7,3,4,55,"Laoreet consectetuer magnis, pede ac cras arcu! Interdum turpis a vehicula.",99,2,3,5,29420
2025-02-10 01:39:15,2025-02-10 01:39:15,2,,100,0,1,2025-02-10 01:39:15,R_6tXtR0M5cfLe3hI,,,,,,,test,,1,6,6,6,4,1,6,7,4,7,6,2,55,Dui suspendisse tellus culpa nulla justo curabitur ultrices odio tempora.,22,2,2,8,17555
2025-02-10 01:39:15,2025-02-10 01:39:15,2,,100,0,1,2025-02-10 01:39:15,R_6ilq2KgBBdsgVWC,,,,,,,test,,1,3,5,1,2,2,3,5,6,6,4,2,1,,56,1,5,7,34952
2025-02-10 01:39:15,2025-02-10 01:39:15,2,,100,0,1,2025-02-10 01:39:16,R_1GkiUETg6QcH9J4,,,,,,,test,,1,4,5,3,2,7,7,3,2,6,6,7,99,,71,3,2,7,42846
2025-02-10 01:39:16,2025-02-10 01:39:16,2,,100,0,1,2025-02-10 01:39:16,R_8ojdlb2hxUwgV9A,,,,,,,test,,1,7,2,4,5,3,1,1,7,5,6,1,1,,18,5,5,7,39928
